ZIP Code,NAME,Dominant Tapestry Segment Number per Zip,Dominant Tapestry Segment Code per Zip,Dominant Tapestry Segment Name per Zip,Dominant Lifemode Code,Dominant Lifemode Group Name
92266,Palo Verde,43,9D,Senior Escapes,9,Senior Styles
92268,Pioneertown,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92270,Rancho Mirage,40,9A,Silver & Gold,9,Senior Styles
92274,Thermal,31,7E,Valley Growers,7,Ethnic Enclaves
92276,Thousand Palms,29,7C,American Dreamers,7,Ethnic Enclaves
92277,Twentynine Palms,65,14A,Military Proximity,8,Middle Ground
92278,Twentynine Palms,65,14A,Military Proximity,14,Scholars and Patriots
92280,Vidal,58,12C,Small Town Simplicity,12,Hometown
92281,Westmorland,32,7F,Southwestern Families,7,Ethnic Enclaves
92282,Whitewater,47,10B,Rooted Rural,10,Rustic Outposts
92283,Winterhaven,49,10D,Down the Road,10,Rustic Outposts
92284,Yucca Valley,58,12C,Small Town Simplicity,12,Hometown
92285,Landers,43,9D,Senior Escapes,9,Senior Styles
92301,Adelanto,29,7C,American Dreamers,7,Ethnic Enclaves
92304,Amboy,49,10D,Down the Road,10,Rustic Outposts
92305,Angelus Oaks,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92307,Apple Valley,16,5A,Comfortable Empty Nesters,5,GenXurban
92308,Apple Valley,29,7C,American Dreamers,7,Ethnic Enclaves
92309,Baker,49,10D,Down the Road,10,Rustic Outposts
92310,Fort Irwin,65,14A,Military Proximity,14,Scholars and Patriots
92311,Barstow,29,7C,American Dreamers,6,Cozy Country Living
92313,Grand Terrace,14,4B,Home Improvement,8,Middle Ground
92314,Big Bear City,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92315,Big Bear Lake,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92316,Bloomington,28,7B,Urban Villages,7,Ethnic Enclaves
92317,Blue Jay,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92318,Bryn Mawr,3,1C,Boomburbs,1,Affluent Estates
92320,Calimesa,23,6C,The Great Outdoors,6,Cozy Country Living
92322,Cedarpines Park,23,6C,The Great Outdoors,6,Cozy Country Living
92324,Colton,28,7B,Urban Villages,7,Ethnic Enclaves
92325,Crestline,23,6C,The Great Outdoors,6,Cozy Country Living
92327,Daggett,58,12C,Small Town Simplicity,12,Hometown
92328,Death Valley,44,9E,Retirement Communities,9,Senior Styles
92332,Essex,49,10D,Down the Road,10,Rustic Outposts
92335,Fontana,28,7B,Urban Villages,7,Ethnic Enclaves
92336,Fontana,3,1C,Boomburbs,7,Ethnic Enclaves
92337,Fontana,28,7B,Urban Villages,7,Ethnic Enclaves
92338,Ludlow,49,10D,Down the Road,10,Rustic Outposts
92339,Forest Falls,17,5B,In Style,5,GenXurban
92341,Green Valley Lake,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92342,Helendale,23,6C,The Great Outdoors,6,Cozy Country Living
92344,Hesperia,27,7A,Up and Coming Families,7,Ethnic Enclaves
92345,Hesperia,29,7C,American Dreamers,7,Ethnic Enclaves
92346,Highland,3,1C,Boomburbs,1,Affluent Estates
92347,Hinkley,50,10E,Rural Bypasses,10,Rustic Outposts
92352,Lake Arrowhead,5,1E,Exurbanites,1,Affluent Estates
92354,Loma Linda,41,9B,Golden Years,11,Midtown Singles
92356,Lucerne Valley,43,9D,Senior Escapes,9,Senior Styles
92358,Lytle Creek,20,5E,Midlife Constants,5,GenXurban
92359,Mentone,37,8E,Front Porches,7,Ethnic Enclaves
92363,Needles,58,12C,Small Town Simplicity,12,Hometown
92364,Nipton,49,10D,Down the Road,10,Rustic Outposts
92365,Newberry Springs,43,9D,Senior Escapes,9,Senior Styles
92368,Oro Grande,49,10D,Down the Road,10,Rustic Outposts
92371,Phelan,46,10A,Southern Satellites,10,Rustic Outposts
92372,Pinon Hills,46,10A,Southern Satellites,10,Rustic Outposts
92373,Redlands,5,1E,Exurbanites,1,Affluent Estates
92374,Redlands,14,4B,Home Improvement,4,Family Landscapes
92376,Rialto,28,7B,Urban Villages,7,Ethnic Enclaves
92377,Rialto,28,7B,Urban Villages,4,Family Landscapes
92378,Rimforest,37,8E,Front Porches,8,Middle Ground
92382,Running Springs,23,6C,The Great Outdoors,6,Cozy Country Living
92384,Shoshone,44,9E,Retirement Communities,9,Senior Styles
92385,Skyforest,5,1E,Exurbanites,1,Affluent Estates
92386,Sugarloaf,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92389,Tecopa,44,9E,Retirement Communities,9,Senior Styles
92391,Twin Peaks,23,6C,The Great Outdoors,6,Cozy Country Living
92392,Victorville,27,7A,Up and Coming Families,7,Ethnic Enclaves
92394,Victorville,29,7C,American Dreamers,7,Ethnic Enclaves
92395,Victorville,29,7C,American Dreamers,7,Ethnic Enclaves
92397,Wrightwood,23,6C,The Great Outdoors,6,Cozy Country Living
92398,Yermo,50,10E,Rural Bypasses,10,Rustic Outposts
92399,Yucaipa,49,10D,Down the Road,1,Affluent Estates
92401,San Bernardino,63,13D,Fresh Ambitions,13,Next Wave
92404,San Bernardino,63,13D,Fresh Ambitions,7,Ethnic Enclaves
92405,San Bernardino,29,7C,American Dreamers,7,Ethnic Enclaves
92407,San Bernardino,29,7C,American Dreamers,7,Ethnic Enclaves
92408,San Bernardino,63,13D,Fresh Ambitions,7,Ethnic Enclaves
92410,San Bernardino,63,13D,Fresh Ambitions,13,Next Wave
92411,San Bernardino,30,7D,Barrios Urbanos,7,Ethnic Enclaves
92501,Riverside,29,7C,American Dreamers,7,Ethnic Enclaves
92503,Riverside,28,7B,Urban Villages,7,Ethnic Enclaves
92504,Riverside,28,7B,Urban Villages,7,Ethnic Enclaves
92505,Riverside,28,7B,Urban Villages,7,Ethnic Enclaves
92506,Riverside,5,1E,Exurbanites,1,Affluent Estates
92507,Riverside,66,14B,College Towns,14,Scholars and Patriots
92508,Riverside,3,1C,Boomburbs,1,Affluent Estates
92509,Riverside,28,7B,Urban Villages,7,Ethnic Enclaves
92518,March Air Reserve Base,44,9E,Retirement Communities,9,Senior Styles
92521,Riverside,67,14C,Dorms to Diplomas,14,Scholars and Patriots
92530,Lake Elsinore,29,7C,American Dreamers,7,Ethnic Enclaves
92532,Lake Elsinore,27,7A,Up and Coming Families,7,Ethnic Enclaves
92536,Aguanga,23,6C,The Great Outdoors,6,Cozy Country Living
92539,Anza,47,10B,Rooted Rural,10,Rustic Outposts
92543,Hemet,45,9F,Social Security Set,9,Senior Styles
92544,Hemet,29,7C,American Dreamers,5,GenXurban
92545,Hemet,27,7A,Up and Coming Families,9,Senior Styles
92548,Homeland,43,9D,Senior Escapes,10,Rustic Outposts
92549,Idyllwild,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92551,Moreno Valley,29,7C,American Dreamers,7,Ethnic Enclaves
92553,Moreno Valley,28,7B,Urban Villages,7,Ethnic Enclaves
92555,Moreno Valley,27,7A,Up and Coming Families,7,Ethnic Enclaves
92557,Moreno Valley,14,4B,Home Improvement,4,Family Landscapes
92561,Mountain Center,23,6C,The Great Outdoors,6,Cozy Country Living
92562,Murrieta,13,4A,Soccer Moms,1,Affluent Estates
92563,Murrieta,3,1C,Boomburbs,1,Affluent Estates
92567,Nuevo,28,7B,Urban Villages,7,Ethnic Enclaves
92570,Perris,30,7D,Barrios Urbanos,7,Ethnic Enclaves
92571,Perris,27,7A,Up and Coming Families,7,Ethnic Enclaves
92582,San Jacinto,27,7A,Up and Coming Families,7,Ethnic Enclaves
92583,San Jacinto,43,9D,Senior Escapes,7,Ethnic Enclaves
92584,Menifee,27,7A,Up and Coming Families,7,Ethnic Enclaves
92585,Sun City,27,7A,Up and Coming Families,7,Ethnic Enclaves
92586,Sun City,42,9C,The Elders,9,Senior Styles
92587,Quail Valley,29,7C,American Dreamers,7,Ethnic Enclaves
92590,Temecula,49,10D,Down the Road,10,Rustic Outposts
92591,Temecula,3,1C,Boomburbs,1,Affluent Estates
92592,Temecula,3,1C,Boomburbs,1,Affluent Estates
92595,Wildomar,3,1C,Boomburbs,7,Ethnic Enclaves
92596,Winchester,3,1C,Boomburbs,1,Affluent Estates
92602,Irvine,3,1C,Boomburbs,1,Affluent Estates
92603,Irvine,3,1C,Boomburbs,1,Affluent Estates
92604,Irvine,8,2C,Pacific Heights,2,Upscale Avenues
92606,Irvine,9,2D,Enterprising Professionals,1,Affluent Estates
92610,Foothill Ranch,2,1B,Professional Pride,1,Affluent Estates
92612,Irvine,11,3B,Metro Renters,3,Uptown Individuals
92614,Irvine,8,2C,Pacific Heights,2,Upscale Avenues
92617,Irvine,67,14C,Dorms to Diplomas,14,Scholars and Patriots
92618,Irvine,9,2D,Enterprising Professionals,2,Upscale Avenues
92620,Irvine,9,2D,Enterprising Professionals,1,Affluent Estates
92624,Capistrano Beach,5,1E,Exurbanites,2,Upscale Avenues
92625,Corona Del Mar,1,1A,Top Tier,1,Affluent Estates
92626,Costa Mesa,7,2B,Pleasantville,3,Uptown Individuals
92627,Costa Mesa,12,3C,Trendsetters,13,Next Wave
92629,Dana Point,6,2A,Urban Chic,2,Upscale Avenues
92630,Lake Forest,9,2D,Enterprising Professionals,2,Upscale Avenues
92637,Laguna Woods,42,9C,The Elders,9,Senior Styles
92646,Huntington Beach,7,2B,Pleasantville,2,Upscale Avenues
92647,Huntington Beach,7,2B,Pleasantville,2,Upscale Avenues
92648,Huntington Beach,1,1A,Top Tier,3,Uptown Individuals
92649,Huntington Beach,6,2A,Urban Chic,2,Upscale Avenues
92651,Laguna Beach,6,2A,Urban Chic,2,Upscale Avenues
92653,Laguna Hills,4,1D,Savvy Suburbanites,1,Affluent Estates
92655,Midway City,8,2C,Pacific Heights,2,Upscale Avenues
92656,Aliso Viejo,9,2D,Enterprising Professionals,2,Upscale Avenues
92657,Newport Coast,1,1A,Top Tier,1,Affluent Estates
92660,Newport Beach,1,1A,Top Tier,1,Affluent Estates
92661,Newport Beach,10,3A,Laptops and Lattes,3,Uptown Individuals
92662,Newport Beach,41,9B,Golden Years,9,Senior Styles
92663,Newport Beach,10,3A,Laptops and Lattes,3,Uptown Individuals
92672,San Clemente,5,1E,Exurbanites,1,Affluent Estates
92673,San Clemente,3,1C,Boomburbs,1,Affluent Estates
92675,San Juan Capistrano,1,1A,Top Tier,1,Affluent Estates
92676,Silverado,7,2B,Pleasantville,2,Upscale Avenues
92677,Laguna Niguel,6,2A,Urban Chic,1,Affluent Estates
92679,Trabuco Canyon,2,1B,Professional Pride,1,Affluent Estates
92683,Westminster,8,2C,Pacific Heights,2,Upscale Avenues
92688,Rancho Santa Margarita,9,2D,Enterprising Professionals,1,Affluent Estates
92691,Mission Viejo,4,1D,Savvy Suburbanites,2,Upscale Avenues
92692,Mission Viejo,2,1B,Professional Pride,1,Affluent Estates
92694,Ladera Ranch,3,1C,Boomburbs,1,Affluent Estates
92697,Irvine,67,14C,Dorms to Diplomas,14,Scholars and Patriots
92701,Santa Ana,62,13C,NeWest Residents,13,Next Wave
92703,Santa Ana,61,13B,Las Casas,13,Next Wave
92704,Santa Ana,28,7B,Urban Villages,7,Ethnic Enclaves
92705,Santa Ana,1,1A,Top Tier,1,Affluent Estates
92706,Santa Ana,28,7B,Urban Villages,7,Ethnic Enclaves
92707,Santa Ana,28,7B,Urban Villages,13,Next Wave
92708,Fountain Valley,8,2C,Pacific Heights,2,Upscale Avenues
92780,Tustin,60,13A,International Marketplace,13,Next Wave
92782,Tustin,9,2D,Enterprising Professionals,2,Upscale Avenues
92801,Anaheim,60,13A,International Marketplace,13,Next Wave
92802,Anaheim,28,7B,Urban Villages,13,Next Wave
92804,Anaheim,28,7B,Urban Villages,7,Ethnic Enclaves
92805,Anaheim,28,7B,Urban Villages,13,Next Wave
92806,Anaheim,28,7B,Urban Villages,7,Ethnic Enclaves
92807,Anaheim,5,1E,Exurbanites,1,Affluent Estates
92808,Anaheim,2,1B,Professional Pride,1,Affluent Estates
92821,Brea,4,1D,Savvy Suburbanites,1,Affluent Estates
92823,Brea,3,1C,Boomburbs,1,Affluent Estates
92831,Fullerton,52,11B,Young and Restless,14,Scholars and Patriots
92832,Fullerton,28,7B,Urban Villages,13,Next Wave
92833,Fullerton,8,2C,Pacific Heights,2,Upscale Avenues
92835,Fullerton,8,2C,Pacific Heights,1,Affluent Estates
92840,Garden Grove,28,7B,Urban Villages,7,Ethnic Enclaves
92841,Garden Grove,28,7B,Urban Villages,7,Ethnic Enclaves
92843,Garden Grove,28,7B,Urban Villages,7,Ethnic Enclaves
92844,Garden Grove,36,8D,Downtown Melting Pot,8,Middle Ground
92845,Garden Grove,7,2B,Pleasantville,2,Upscale Avenues
92860,Norco,7,2B,Pleasantville,1,Affluent Estates
92861,Villa Park,1,1A,Top Tier,1,Affluent Estates
92862,Orange,1,1A,Top Tier,1,Affluent Estates
92865,Orange,7,2B,Pleasantville,2,Upscale Avenues
92866,Orange,7,2B,Pleasantville,2,Upscale Avenues
92867,Orange,7,2B,Pleasantville,1,Affluent Estates
92868,Orange,60,13A,International Marketplace,3,Uptown Individuals
92869,Orange,7,2B,Pleasantville,1,Affluent Estates
92870,Placentia,5,1E,Exurbanites,1,Affluent Estates
92879,Corona,13,4A,Soccer Moms,7,Ethnic Enclaves
92880,Corona,3,1C,Boomburbs,1,Affluent Estates
92881,Corona,3,1C,Boomburbs,1,Affluent Estates
92882,Corona,28,7B,Urban Villages,1,Affluent Estates
92883,Corona,3,1C,Boomburbs,1,Affluent Estates
92886,Yorba Linda,4,1D,Savvy Suburbanites,1,Affluent Estates
92887,Yorba Linda,1,1A,Top Tier,1,Affluent Estates
93001,Ventura,60,13A,International Marketplace,13,Next Wave
93003,Ventura,7,2B,Pleasantville,8,Middle Ground
93004,Ventura,7,2B,Pleasantville,2,Upscale Avenues
93010,Camarillo,7,2B,Pleasantville,2,Upscale Avenues
93012,Camarillo,13,4A,Soccer Moms,4,Family Landscapes
93013,Carpinteria,5,1E,Exurbanites,1,Affluent Estates
93015,Fillmore,61,13B,Las Casas,13,Next Wave
93021,Moorpark,2,1B,Professional Pride,1,Affluent Estates
93022,Oak View,7,2B,Pleasantville,2,Upscale Avenues
93023,Ojai,7,2B,Pleasantville,2,Upscale Avenues
93030,Oxnard,28,7B,Urban Villages,7,Ethnic Enclaves
93033,Oxnard,28,7B,Urban Villages,7,Ethnic Enclaves
93035,Oxnard,28,7B,Urban Villages,7,Ethnic Enclaves
93036,Oxnard,28,7B,Urban Villages,7,Ethnic Enclaves
93040,Piru,28,7B,Urban Villages,7,Ethnic Enclaves
93041,Port Hueneme,60,13A,International Marketplace,7,Ethnic Enclaves
93042,Point Mugu Nawc,65,14A,Military Proximity,14,Scholars and Patriots
93043,Port Hueneme Cbc Base,65,14A,Military Proximity,14,Scholars and Patriots
93060,Santa Paula,61,13B,Las Casas,13,Next Wave
93063,Simi Valley,7,2B,Pleasantville,2,Upscale Avenues
93065,Simi Valley,7,2B,Pleasantville,2,Upscale Avenues
93066,Somis,5,1E,Exurbanites,1,Affluent Estates
93067,Summerland,34,8B,Emerald City,8,Middle Ground
93101,Santa Barbara,12,3C,Trendsetters,3,Uptown Individuals
93103,Santa Barbara,60,13A,International Marketplace,13,Next Wave
93105,Santa Barbara,6,2A,Urban Chic,2,Upscale Avenues
93106,Santa Barbara,67,14C,Dorms to Diplomas,14,Scholars and Patriots
93108,Santa Barbara,5,1E,Exurbanites,1,Affluent Estates
93109,Santa Barbara,6,2A,Urban Chic,2,Upscale Avenues
93110,Santa Barbara,5,1E,Exurbanites,1,Affluent Estates
93111,Santa Barbara,5,1E,Exurbanites,1,Affluent Estates
93117,Goleta,67,14C,Dorms to Diplomas,14,Scholars and Patriots
93201,Alpaugh,31,7E,Valley Growers,7,Ethnic Enclaves
93202,Armona,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93203,Arvin,31,7E,Valley Growers,7,Ethnic Enclaves
93204,Avenal,31,7E,Valley Growers,7,Ethnic Enclaves
93205,Bodfish,43,9D,Senior Escapes,9,Senior Styles
93206,Buttonwillow,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93207,California Hot Springs,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93210,Coalinga,68,15,Unclassified,7,Ethnic Enclaves
93212,Corcoran,68,15,Unclassified,7,Ethnic Enclaves
93215,Delano,31,7E,Valley Growers,7,Ethnic Enclaves
93218,Ducor,31,7E,Valley Growers,7,Ethnic Enclaves
93219,Earlimart,31,7E,Valley Growers,7,Ethnic Enclaves
93221,Exeter,15,4C,Middleburg,4,Family Landscapes
93223,Farmersville,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93224,Fellows,48,10C,Diners & Miners,10,Rustic Outposts
93225,Frazier Park,23,6C,The Great Outdoors,6,Cozy Country Living
93226,Glennville,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93230,Hanford,3,1C,Boomburbs,7,Ethnic Enclaves
93234,Huron,31,7E,Valley Growers,7,Ethnic Enclaves
93235,Ivanhoe,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93238,Kernville,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93239,Kettleman City,31,7E,Valley Growers,7,Ethnic Enclaves
93240,Lake Isabella,43,9D,Senior Escapes,9,Senior Styles
93241,Lamont,31,7E,Valley Growers,7,Ethnic Enclaves
93242,Laton,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93243,Lebec,23,6C,The Great Outdoors,6,Cozy Country Living
93244,Lemon Cove,5,1E,Exurbanites,1,Affluent Estates
93245,Lemoore,65,14A,Military Proximity,8,Middle Ground
93247,Lindsay,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93249,Lost Hills,31,7E,Valley Growers,7,Ethnic Enclaves
93250,Mc Farland,31,7E,Valley Growers,7,Ethnic Enclaves
93251,Mc Kittrick,31,7E,Valley Growers,7,Ethnic Enclaves
93252,Maricopa,48,10C,Diners & Miners,10,Rustic Outposts
93254,New Cuyama,24,6D,Prairie Living,6,Cozy Country Living
93255,Onyx,43,9D,Senior Escapes,9,Senior Styles
93256,Pixley,31,7E,Valley Growers,7,Ethnic Enclaves
93257,Porterville,31,7E,Valley Growers,7,Ethnic Enclaves
93260,Posey,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93261,Richgrove,31,7E,Valley Growers,7,Ethnic Enclaves
93262,Sequoia National Park,40,9A,Silver & Gold,9,Senior Styles
93263,Shafter,31,7E,Valley Growers,7,Ethnic Enclaves
93265,Springville,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93266,Stratford,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93267,Strathmore,31,7E,Valley Growers,7,Ethnic Enclaves
93268,Taft,31,7E,Valley Growers,7,Ethnic Enclaves
93270,Terra Bella,31,7E,Valley Growers,7,Ethnic Enclaves
93271,Three Rivers,5,1E,Exurbanites,1,Affluent Estates
93274,Tulare,31,7E,Valley Growers,7,Ethnic Enclaves
93276,Tupman,48,10C,Diners & Miners,10,Rustic Outposts
93277,Visalia,37,8E,Front Porches,5,GenXurban
93280,Wasco,31,7E,Valley Growers,7,Ethnic Enclaves
93283,Weldon,43,9D,Senior Escapes,9,Senior Styles
93285,Wofford Heights,43,9D,Senior Escapes,9,Senior Styles
93286,Woodlake,31,7E,Valley Growers,7,Ethnic Enclaves
93287,Woody,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93291,Visalia,27,7A,Up and Coming Families,7,Ethnic Enclaves
93292,Visalia,29,7C,American Dreamers,7,Ethnic Enclaves
93301,Bakersfield,63,13D,Fresh Ambitions,13,Next Wave
93304,Bakersfield,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93305,Bakersfield,31,7E,Valley Growers,7,Ethnic Enclaves
93306,Bakersfield,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93307,Bakersfield,31,7E,Valley Growers,7,Ethnic Enclaves
93308,Bakersfield,27,7A,Up and Coming Families,8,Middle Ground
93309,Bakersfield,53,11C,Metro Fusion,8,Middle Ground
93311,Bakersfield,27,7A,Up and Coming Families,1,Affluent Estates
93312,Bakersfield,13,4A,Soccer Moms,4,Family Landscapes
93313,Bakersfield,27,7A,Up and Coming Families,7,Ethnic Enclaves
93314,Bakersfield,13,4A,Soccer Moms,4,Family Landscapes
93401,San Luis Obispo,38,8F,Old and Newcomers,8,Middle Ground
93402,Los Osos,17,5B,In Style,5,GenXurban
93405,San Luis Obispo,67,14C,Dorms to Diplomas,14,Scholars and Patriots
93407,San Luis Obispo,67,14C,Dorms to Diplomas,14,Scholars and Patriots
93420,Arroyo Grande,5,1E,Exurbanites,1,Affluent Estates
93422,Atascadero,35,8C,Bright Young Professionals,6,Cozy Country Living
93424,Avila Beach,40,9A,Silver & Gold,9,Senior Styles
93426,Bradley,23,6C,The Great Outdoors,6,Cozy Country Living
93427,Buellton,13,4A,Soccer Moms,4,Family Landscapes
93428,Cambria,40,9A,Silver & Gold,9,Senior Styles
93429,Casmalia,31,7E,Valley Growers,7,Ethnic Enclaves
93430,Cayucos,23,6C,The Great Outdoors,9,Senior Styles
93432,Creston,23,6C,The Great Outdoors,6,Cozy Country Living
93433,Grover Beach,37,8E,Front Porches,8,Middle Ground
93434,Guadalupe,61,13B,Las Casas,7,Ethnic Enclaves
93435,Harmony,23,6C,The Great Outdoors,6,Cozy Country Living
93436,Lompoc,28,7B,Urban Villages,7,Ethnic Enclaves
93437,Lompoc,65,14A,Military Proximity,14,Scholars and Patriots
93441,Los Olivos,5,1E,Exurbanites,1,Affluent Estates
93442,Morro Bay,38,8F,Old and Newcomers,9,Senior Styles
93444,Nipomo,5,1E,Exurbanites,7,Ethnic Enclaves
93445,Oceano,29,7C,American Dreamers,7,Ethnic Enclaves
93446,Paso Robles,23,6C,The Great Outdoors,6,Cozy Country Living
93449,Pismo Beach,41,9B,Golden Years,9,Senior Styles
93450,San Ardo,21,6A,Green Acres,6,Cozy Country Living
93451,San Miguel,29,7C,American Dreamers,7,Ethnic Enclaves
93452,San Simeon,23,6C,The Great Outdoors,6,Cozy Country Living
93453,Santa Margarita,23,6C,The Great Outdoors,6,Cozy Country Living
93454,Santa Maria,28,7B,Urban Villages,7,Ethnic Enclaves
93455,Santa Maria,7,2B,Pleasantville,2,Upscale Avenues
93458,Santa Maria,31,7E,Valley Growers,7,Ethnic Enclaves
93460,Santa Ynez,5,1E,Exurbanites,1,Affluent Estates
93461,Shandon,29,7C,American Dreamers,7,Ethnic Enclaves
93463,Solvang,5,1E,Exurbanites,1,Affluent Estates
93465,Templeton,23,6C,The Great Outdoors,6,Cozy Country Living
93501,Mojave,39,8G,Hardscrabble Road,8,Middle Ground
93505,California City,15,4C,Middleburg,4,Family Landscapes
93510,Acton,7,2B,Pleasantville,2,Upscale Avenues
93512,Benton,23,6C,The Great Outdoors,6,Cozy Country Living
93513,Big Pine,23,6C,The Great Outdoors,6,Cozy Country Living
93514,Bishop,5,1E,Exurbanites,1,Affluent Estates
93516,Boron,48,10C,Diners & Miners,10,Rustic Outposts
93517,Bridgeport,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93518,Caliente,43,9D,Senior Escapes,9,Senior Styles
93519,Cantil,43,9D,Senior Escapes,9,Senior Styles
93522,Darwin,43,9D,Senior Escapes,9,Senior Styles
93523,Edwards,65,14A,Military Proximity,14,Scholars and Patriots
93524,Edwards,65,14A,Military Proximity,14,Scholars and Patriots
93526,Independence,20,5E,Midlife Constants,5,GenXurban
93527,Inyokern,23,6C,The Great Outdoors,6,Cozy Country Living
93528,Johannesburg,43,9D,Senior Escapes,9,Senior Styles
93529,June Lake,38,8F,Old and Newcomers,8,Middle Ground
93531,Keene,40,9A,Silver & Gold,9,Senior Styles
93532,Lake Hughes,14,4B,Home Improvement,4,Family Landscapes
93534,Lancaster,29,7C,American Dreamers,7,Ethnic Enclaves
93535,Lancaster,29,7C,American Dreamers,7,Ethnic Enclaves
93536,Lancaster,14,4B,Home Improvement,4,Family Landscapes
93541,Lee Vining,23,6C,The Great Outdoors,6,Cozy Country Living
93543,Littlerock,28,7B,Urban Villages,7,Ethnic Enclaves
93544,Llano,23,6C,The Great Outdoors,6,Cozy Country Living
93545,Lone Pine,58,12C,Small Town Simplicity,12,Hometown
93546,Mammoth Lakes,34,8B,Emerald City,8,Middle Ground
93549,Olancha,43,9D,Senior Escapes,9,Senior Styles
93550,Palmdale,28,7B,Urban Villages,7,Ethnic Enclaves
93551,Palmdale,13,4A,Soccer Moms,4,Family Landscapes
93552,Palmdale,28,7B,Urban Villages,7,Ethnic Enclaves
93553,Pearblossom,18,5C,Parks and Rec,5,GenXurban
93554,Randsburg,43,9D,Senior Escapes,9,Senior Styles
93555,Ridgecrest,38,8F,Old and Newcomers,8,Middle Ground
93558,Red Mountain,43,9D,Senior Escapes,9,Senior Styles
93560,Rosamond,14,4B,Home Improvement,10,Rustic Outposts
93561,Tehachapi,5,1E,Exurbanites,1,Affluent Estates
93562,Trona,48,10C,Diners & Miners,10,Rustic Outposts
93563,Valyermo,47,10B,Rooted Rural,10,Rustic Outposts
93591,Palmdale,29,7C,American Dreamers,7,Ethnic Enclaves
93601,Ahwahnee,23,6C,The Great Outdoors,6,Cozy Country Living
93602,Auberry,23,6C,The Great Outdoors,6,Cozy Country Living
93603,Badger,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93604,Bass Lake,40,9A,Silver & Gold,9,Senior Styles
93605,Big Creek,21,6A,Green Acres,6,Cozy Country Living
93606,Biola,31,7E,Valley Growers,7,Ethnic Enclaves
93608,Cantua Creek,31,7E,Valley Growers,7,Ethnic Enclaves
93609,Caruthers,31,7E,Valley Growers,7,Ethnic Enclaves
93610,Chowchilla,31,7E,Valley Growers,7,Ethnic Enclaves
93611,Clovis,13,4A,Soccer Moms,1,Affluent Estates
93612,Clovis,53,11C,Metro Fusion,11,Midtown Singles
93614,Coarsegold,23,6C,The Great Outdoors,6,Cozy Country Living
93615,Cutler,31,7E,Valley Growers,7,Ethnic Enclaves
93616,Del Rey,31,7E,Valley Growers,7,Ethnic Enclaves
93618,Dinuba,31,7E,Valley Growers,7,Ethnic Enclaves
93619,Clovis,3,1C,Boomburbs,1,Affluent Estates
93620,Dos Palos,30,7D,Barrios Urbanos,7,Ethnic Enclaves
93621,Dunlap,23,6C,The Great Outdoors,10,Rustic Outposts
93622,Firebaugh,31,7E,Valley Growers,7,Ethnic Enclaves
93623,Fish Camp,34,8B,Emerald City,8,Middle Ground
93624,Five Points,31,7E,Valley Growers,7,Ethnic Enclaves
93625,Fowler,28,7B,Urban Villages,7,Ethnic Enclaves
93626,Friant,4,1D,Savvy Suburbanites,1,Affluent Estates
93627,Helm,31,7E,Valley Growers,7,Ethnic Enclaves
93628,Hume,49,10D,Down the Road,10,Rustic Outposts
93630,Kerman,31,7E,Valley Growers,7,Ethnic Enclaves
93631,Kingsburg,15,4C,Middleburg,4,Family Landscapes
93635,Los Banos,28,7B,Urban Villages,7,Ethnic Enclaves
93636,Madera,21,6A,Green Acres,6,Cozy Country Living
93637,Madera,15,4C,Middleburg,7,Ethnic Enclaves
93638,Madera,31,7E,Valley Growers,7,Ethnic Enclaves
93640,Mendota,31,7E,Valley Growers,7,Ethnic Enclaves
93641,Miramonte,47,10B,Rooted Rural,10,Rustic Outposts
93643,North Fork,25,6E,Rural Resort Dwellers,6,Cozy Country Living
93644,Oakhurst,43,9D,Senior Escapes,6,Cozy Country Living
93645,O Neals,23,6C,The Great Outdoors,6,Cozy Country Living
93646,Orange Cove,31,7E,Valley Growers,7,Ethnic Enclaves
93647,Orosi,31,7E,Valley Growers,7,Ethnic Enclaves
93648,Parlier,31,7E,Valley Growers,7,Ethnic Enclaves
93650,Fresno,63,13D,Fresh Ambitions,11,Midtown Singles
93652,Raisin City,31,7E,Valley Growers,7,Ethnic Enclaves
