License Number,License Designation,Business Name,DBA,Record Status,Expiration Date,Business Organization Structure,Business Phone,City,Lat,Lng
M10-18-0000153-TEMP,Medicinal,Sespe Creek Collective Inc.,,Active,10/29/2018,Corporation,8557229333,Ojai,34.4487,-119.2469
M10-17-0000033-TEMP,Medicinal,"AgMd Logistics, LLC.",Ojai Greens,Active,10/28/2018,Limited Liability Company,8056464420,Ojai,34.4487,-119.2469
M10-17-0000104-TEMP,Medicinal,"JET ROOM, INC.",,Active,10/28/2018,Corporation,9095313793,Adelanto,34.5868,-117.4411
M10-18-0000353-TEMP,Medicinal,"Adelanto Air Expressway, Inc.",Loud-N-Clear,Active,10/12/2018,Corporation,9093548047,Adelanto,34.5868,-117.4411
M10-18-0000270-TEMP,Adult-Use Medicinal,"Herbal Pain Relief Center Cooperative, INC",,Active,9/4/2018,Corporation,8186396027,Mission Hills,34.6861,-120.4406
M10-17-0000040-TEMP,Medicinal,OPG - Ontana Planet Green,OPG - Ontana Planet Green,Active,10/28/2018,Corporation,7609033320,Needles,34.816,-114.6192
M10-18-0000338-TEMP,Medicinal,The Healing Center Needles,The Healing Center,Active,10/8/2018,Corporation,2629942513,Needles,34.816,-114.6192
M10-18-0000411-TEMP,Medicinal,The Bud Farmacy Corporation,,Active,9/13/2018,Corporation,8182629937,Needles,34.816,-114.6192
M10-18-0000202-TEMP,Medicinal,H Street Patient Care,,Active,8/16/2018,Corporation,8182629937,Needles,34.816,-114.6192
M10-18-0000363-TEMP,Adult-Use Medicinal,Natural Healing Center,,Active,10/18/2018,Limited Liability Company,2132725729,Grover Beach,35.1205,-120.6199
M10-18-0000346-TEMP,Adult-Use Medicinal,805 Beach Breaks Inc,,Active,10/9/2018,Corporation,8058963777,Grover Beach,35.1205,-120.6199
M10-17-0000041-TEMP,Medicinal,Tulare Alternative Relief Association,,Active,10/28/2018,Corporation,5596882001,Tulare,36.1996,-119.34
M10-18-0000263-TEMP,Medicinal,Barbara Lee Perkins,,Active,9/3/2018,Sole Proprietorship,5596684420,Tulare,36.1996,-119.34
A10-17-0000031-TEMP,Adult-Use Medicinal,VALLEY PURE,Valley Pure,Active,10/28/2018,Limited Liability Company,5596901898,Woodlake,36.4124,-119.0998
A10-17-0000009-TEMP,Adult-Use Medicinal,Monterey Bay Alternative Medicine,,Active,10/28/2018,Corporation,8313932500,Del Rey Oaks,36.5929,-121.8381
M10-18-0000379-TEMP,Adult-Use Medicinal,"PHSL, LLC",Sugarleaf Trading Company,Active,11/9/2018,Limited Liability Company,9168218955,Seaside,36.6224,-121.8191
A10-18-0000126-TEMP,Adult-Use Medicinal,Higher Level of Care Seaside,Higher Level,Active,11/4/2018,Corporation,3102614809,Seaside,36.6224,-121.8191
A10-18-0000106-TEMP,Adult-Use Medicinal,EMERALD SKYWAY,,Active,10/29/2018,Limited Liability Company,8315660758,Salinas,36.6881,-121.6316
A10-17-0000063-TEMP,Adult-Use Medicinal,EAST OF EDEN CANNABIS CO.,EAST OF EDEN,Active,10/28/2018,Corporation,3126360404,Salinas,36.6881,-121.6316
A10-17-0000073-TEMP,Adult-Use Medicinal,Higher Level of Care,Higher Level,Active,10/28/2018,Corporation,3102614809,Castroville,36.765,-121.7535
A10-18-0000104-TEMP,Adult-Use Medicinal,Northeastern Management Inc,,Active,10/29/2018,Corporation,4087695552,Santa Cruz,36.9788,-122.0346
A10-17-0000002-TEMP,Adult-Use Medicinal,CalWave Enterprises Inc.,KindPeoples,Active,10/28/2018,Corporation,8313327155,Santa Cruz,36.9788,-122.0346
A10-17-0000003-TEMP,Adult-Use Medicinal,"CalWave Enterprises, Inc.",KindPeoples (formerly KindPeoples Collective),Active,10/28/2018,Corporation,8313327155,Santa Cruz,36.9788,-122.0346
A10-17-0000018-TEMP,Adult-Use Medicinal,"CannaCruz, Inc.",CannaCruz,Active,10/28/2018,Corporation,8314203227,Santa Cruz,36.9788,-122.0346
A10-17-0000022-TEMP,Adult-Use Medicinal,Capitola Healing Association Inc.,Capitola Healing Association Inc.,Active,10/28/2018,Corporation,8314755506,Santa Cruz,36.9788,-122.0346
A10-18-0000359-TEMP,Adult-Use,"CannaCruz, LLC",CannaCruz,Active,9/9/2018,Limited Liability Company,8312067569,Santa Cruz,36.9788,-122.0346
A10-17-0000044-TEMP,Adult-Use Medicinal,"MNat, Inc.",Santa Cruz Naturals,Active,10/28/2018,Corporation,8316887266,Aptos,36.9912,-121.8928
A10-17-0000036-TEMP,Adult-Use Medicinal,KGMB LLC,TreeHouse,Active,10/28/2018,Limited Liability Company,8318182956,Soquel,36.9978,-121.9483
A10-17-0000017-TEMP,Adult-Use Medicinal,"SC VETERANS ALLIANCE, INC.",,Active,10/28/2018,Corporation,8314316347,Soquel,36.9978,-121.9483
A10-17-0000043-TEMP,Adult-Use Medicinal,BI Supportive Services,Therapeutic Healthcare Collective,Active,10/28/2018,Limited Liability Company,8313361910,Soquel,36.9978,-121.9483
A10-17-0000089-TEMP,Adult-Use Medicinal,Curbstone Exchange LLC,,Active,10/28/2018,Limited Liability Company,8313317886,Felton,37.0392,-122.0804
A10-17-0000067-TEMP,Adult-Use,Redwood Coast Lifestyles Inc.,Redwood Coast Collective,Active,10/28/2018,Corporation,8313368795,Ben Lomond,37.0782,-122.0882
A10-17-0000056-TEMP,Adult-Use,Central Coast Wellness LLC,Central Coast Welness center LLC,Active,10/28/2018,Limited Liability Company,5596901898,Ben Lomond,37.0782,-122.0882
A10-17-0000047-TEMP,Adult-Use Medicinal,Creekside Wellness,,Active,10/28/2018,Corporation,8015609466,Boulder Creek,37.1341,-122.1271
A10-17-0000057-TEMP,Adult-Use,"TFA, INC.",TFA Inc.,Active,10/28/2018,Corporation,8314546083,Los Gatos,37.2307,-121.9564
M10-17-0000067-TEMP,Medicinal,"TFA, inc.",Santa Cruz Mountain Herb,Active,10/28/2018,Corporation,4083531717,Los Gatos,37.2307,-121.9564
A10-17-0000045-TEMP,Adult-Use Medicinal,"Canna Culture Collective, Inc.",Canna Culture,Active,10/28/2018,Corporation,5302773389,San Jose,37.302,-121.8488
A10-17-0000007-TEMP,Adult-Use Medicinal,"VMK, INC.",Purple Lotus Patient Center,Active,10/28/2018,Corporation,9259894194,San Jose,37.302,-121.8488
A10-17-0000023-TEMP,Adult-Use Medicinal,San Jose Wellness,Harborside,Active,10/28/2018,Corporation,5103442933,San Jose,37.302,-121.8488
A10-17-0000019-TEMP,Adult-Use Medicinal,"NC3 Systems, Inc.",Caliva,Active,10/28/2018,Corporation,4082972615,San Jose,37.302,-121.8488
A10-18-0000352-TEMP,Adult-Use Medicinal,"NTZ, Inc.",CA Collective,Active,8/31/2018,Corporation,4083135772,San Jose,37.302,-121.8488
A10-18-0000351-TEMP,Adult-Use Medicinal,"Relentless Enterprises, Inc.",Theraleaf,Active,8/31/2018,Corporation,4152188666,San Jose,37.302,-121.8488
M10-18-0000401-TEMP,Adult-Use Medicinal,"Captain Kirk Services, Inc.",Airfield Supply Co.,Active,8/31/2018,Corporation,4085295875,San Jose,37.302,-121.8488
A10-18-0000270-TEMP,Adult-Use Medicinal,"KP PATTERSON MANAGEMENT, LLC",,Active,9/19/2018,Limited Liability Company,2093455360,Patterson,37.4734,-121.144
A10-18-0000355-TEMP,Adult-Use Medicinal,The Honest Choice,,Active,9/4/2018,Corporation,2093981150,Denair,37.5256,-120.7997
A10-18-0000291-TEMP,Adult-Use Medicinal,"Kase's Journey, Inc",,Active,10/1/2018,Corporation,2099854729,Ceres,37.5954,-120.9624
C10-18-0000022-TEMP,Adult-Use Medicinal,"ESHD, Inc",Green Mammoth,Active,11/20/2018,Corporation,,Mammoth Lakes,37.6273,-118.99
M10-17-0000029-TEMP,Medicinal,"Mammoth Lakes Wellness, Inc.",,Active,10/28/2018,Corporation,7609242299,Mammoth Lakes,37.6273,-118.99
A10-18-0000112-TEMP,Adult-Use,WE ARE HEMP,,Active,10/30/2018,General Partnership,5108780341,Hayward,37.6327,-122.0776
A10-18-0000348-TEMP,Adult-Use Medicinal,21227 Foothill LLC,Garden of Eden,Active,8/29/2018,Limited Liability Company,3236457669,Hayward,37.6327,-122.0776
A10-18-0000153-TEMP,Adult-Use Medicinal,"R & S NURSERY, INC.",The Healing Flower,Active,11/9/2018,Corporation,4086905351,Modesto,37.6371,-121.003
M10-18-0000191-TEMP,Adult-Use Medicinal,Natural Remedies Consulting,NRC Holistic Health Services Clinic,Active,11/8/2018,Corporation,2094046077,Modesto,37.6371,-121.003
C10-18-0000009-TEMP,Adult-Use Medicinal,MDS BUSINESS SERVICES LLC,THE PEOPLE'S REMEDY,Active,10/23/2018,Limited Liability Company,2093455360,Modesto,37.6371,-121.003
A10-18-0000308-TEMP,Adult-Use Medicinal,"Jayden's Journey Cooperative, Inc",,Active,10/12/2018,Corporation,2096048317,Modesto,37.6371,-121.003
A10-18-0000272-TEMP,Adult-Use Medicinal,"Pacafi Cooperative, inc.",Patient Care First,Active,9/20/2018,Corporation,2095540802,Modesto,37.6371,-121.003
A10-18-0000231-TEMP,Adult-Use Medicinal,Canna Corn Collective,Medallion Wellness,Active,9/4/2018,Corporation,2092487472,Modesto,37.6371,-121.003
A10-18-0000162-TEMP,Adult-Use,"JDI FARMS, INC.",Empire Health and Wellness,Active,8/16/2018,Corporation,2092168966,Modesto,37.6371,-121.003
M10-18-0000197-TEMP,Medicinal,JDI Farms,Empire Health and Welness,Active,8/15/2018,Corporation,2092168966,Modesto,37.6371,-121.003
A10-18-0000101-TEMP,Adult-Use Medicinal,"PACAFI COOPERATIVE, INC.",Flavors,Active,10/28/2018,Corporation,2095540801,Riverbank,37.7269,-120.9406
M10-18-0000241-TEMP,Adult-Use Medicinal,"Med Thrive Cooperative, Inc.",MediThrive,Active,11/26/2018,Corporation,4157602264,San Francisco,37.7561,-122.4429
A10-18-0000181-TEMP,Adult-Use Medicinal,"DPC SF, LLC",Dutchman's Flat,Active,11/22/2018,Limited Liability Company,4152036277,San Francisco,37.7561,-122.4429
A10-18-0000170-TEMP,Adult-Use Medicinal,Bay Area Safe Alternatives Collective Inc,Basa Inc,Active,11/19/2018,Corporation,4157972286,San Francisco,37.7561,-122.4429
A10-18-0000168-TEMP,Adult-Use Medicinal,"MSTMA, INC.",Cookies SF,Active,11/15/2018,Corporation,4157695001,San Francisco,37.7561,-122.4429
A10-18-0000155-TEMP,Adult-Use Medicinal,Seventy Second Street,Flower Power SF,Active,11/12/2018,Corporation,5103681262,San Francisco,37.7561,-122.4429
A10-18-0000154-TEMP,Adult-Use Medicinal,710 SF Inc.,Pure 710SF,Active,11/10/2018,Corporation,4156545275,San Francisco,37.7561,-122.4429
A10-18-0000142-TEMP,Adult-Use Medicinal,MIPARC,SPARC,Active,11/7/2018,Corporation,7073871517,San Francisco,37.7561,-122.4429
A10-18-0000139-TEMP,Adult-Use Medicinal,Purple Star MD Collective,Purple Star MD,Active,11/7/2018,Corporation,4153148157,San Francisco,37.7561,-122.4429
A10-18-0000141-TEMP,Adult-Use Medicinal,San Francisco Foundation on Going Green,Medical Cannabis Dispensary,Active,11/7/2018,Corporation,4158964271,San Francisco,37.7561,-122.4429
A10-18-0000140-TEMP,Adult-Use,"BCSF, Inc.",,Active,11/7/2018,Corporation,4152434400,San Francisco,37.7561,-122.4429
A10-18-0000143-TEMP,Adult-Use Medicinal,"Good Living Mgmt II, Inc.",Harvest off Mission,Active,11/7/2018,Corporation,4156408250,San Francisco,37.7561,-122.4429
A10-18-0000132-TEMP,Adult-Use Medicinal,"Howard Street Partners, LLC",The Apothecarium,Active,11/6/2018,Limited Liability Company,4157469001,San Francisco,37.7561,-122.4429
A10-18-0000137-TEMP,Adult-Use Medicinal,"DEEP THOUGHT, LLC",The Apothecarium,Active,11/6/2018,Limited Liability Company,4159283300,San Francisco,37.7561,-122.4429
A10-18-0000128-TEMP,Adult-Use Medicinal,"Shambahla Healing Center, Inc.",Mission Cannabis Club,Active,11/4/2018,Corporation,4155098664,San Francisco,37.7561,-122.4429
A10-18-0000325-TEMP,Adult-Use Medicinal,Bay Pacific Networks,SPARC,Active,11/2/2018,Corporation,7073871517,San Francisco,37.7561,-122.4429
A10-18-0000123-TEMP,Adult-Use Medicinal,JAZDALE INVESTMENTS LLC,Releaf Herbal Cooperative,Active,11/1/2018,Limited Liability Company,4157161027,San Francisco,37.7561,-122.4429
A10-18-0000121-TEMP,Adult-Use Medicinal,"Harvest on Geary, Inc.",,Active,11/1/2018,Corporation,4156408250,San Francisco,37.7561,-122.4429
A10-18-0000122-TEMP,Adult-Use Medicinal,"RHMT, LLC",The Apothecarium,Active,11/1/2018,Limited Liability Company,4157469001,San Francisco,37.7561,-122.4429
A10-18-0000124-TEMP,Adult-Use Medicinal,"Bay Area Green Cross Dispensary, Inc.",The Green Cross,Active,11/1/2018,Corporation,4158467671,San Francisco,37.7561,-122.4429
A10-18-0000120-TEMP,Adult-Use Medicinal,Community Roots United,Grass Roots,Active,11/1/2018,Corporation,4158270650,San Francisco,37.7561,-122.4429
M10-17-0000015-TEMP,Adult-Use Medicinal,"MISSION ORGANIC CENTER, INC.",MISSION ORGANIC CENTER,Active,10/28/2018,Corporation,3102108791,San Francisco,37.7561,-122.4429
M10-18-0000150-TEMP,Medicinal,"BCSF, Inc.",Barbary Coast,Active,10/28/2018,Corporation,4157930831,San Francisco,37.7561,-122.4429
C10-18-0000011-TEMP,Adult-Use Medicinal,Ketama Cooperative,Non profit,Active,10/24/2018,Corporation,4158612451,San Francisco,37.7561,-122.4429
M10-18-0000354-TEMP,Medicinal,Ketama Cooperative,,Active,10/15/2018,Corporation,4158612451,San Francisco,37.7561,-122.4429
A10-18-0000306-TEMP,Adult-Use Medicinal,Jessie Street Collective LLC,Bloom Room,Active,10/11/2018,Limited Liability Company,4155437666,San Francisco,37.7561,-122.4429
M10-18-0000332-TEMP,Medicinal,"CSBB, INC.",2 One 2 California,Active,10/4/2018,Corporation,4153730555,San Francisco,37.7561,-122.4429
M10-18-0000413-TEMP,Adult-Use Medicinal,BCOK INC,La Corona Wellness,Active,9/14/2018,Corporation,7088332088,San Francisco,37.7561,-122.4429
A10-18-0000259-TEMP,Adult-Use Medicinal,MISSION HERBAL CARE INC,THE COOKIE COMPANY,Active,9/12/2018,Corporation,3233099090,San Francisco,37.7561,-122.4429
A10-18-0000229-TEMP,Adult-Use Medicinal,"Compassionate Care Patients Collective, Inc",The Green Door,Active,9/4/2018,Corporation,5109318180,San Francisco,37.7561,-122.4429
A10-18-0000234-TEMP,Adult-Use Medicinal,Urban Flowers,Urban Pharm,Active,9/4/2018,Corporation,9168335343,San Francisco,37.7561,-122.4429
A10-18-0000210-TEMP,Adult-Use Medicinal,"Elevated Systems, Inc.",Elevated San Francisco,Active,8/31/2018,Corporation,4158255123,San Francisco,37.7561,-122.4429
A10-18-0000330-TEMP,Adult-Use Medicinal,"Waterfall Wellness Cooperative, Inc.",Waterfall Wellness,Active,8/15/2018,Corporation,4156367851,San Francisco,37.7561,-122.4429
C10-18-0000019-TEMP,Adult-Use Medicinal,MMC MANAGEMENT SERVICES LLC,THE PEOPLE'S REMEDY,Active,11/13/2018,Limited Liability Company,2093455360,Oakdale,37.762,-120.8463
A10-18-0000353-TEMP,Adult-Use Medicinal,"Cali Kosher, Inc","Empire Health and Wellness
- Oakdale",Active,8/31/2018,Corporation,2092168966,Oakdale,37.762,-120.8463
A10-18-0000335-TEMP,Adult-Use Medicinal,Black Oak Gallery,Blum,Active,11/20/2018,Corporation,7074776790,Oakland,37.7903,-122.2165
A10-18-0000161-TEMP,Adult-Use,OCP,,Active,11/14/2018,Sole Proprietorship,4152057450,Oakland,37.7903,-122.2165
A10-17-0000041-TEMP,Adult-Use Medicinal,Patients Mutual Assistance Collective Corporation,Harborside,Active,10/28/2018,Corporation,5103442933,Oakland,37.7903,-122.2165
A10-17-0000010-TEMP,Adult-Use Medicinal,Purple Heart Patient Center,Purple Heart,Active,10/28/2018,Corporation,5106257877,Oakland,37.7903,-122.2165
M10-18-0000414-TEMP,Medicinal,Kanna inc.,,Active,9/18/2018,Corporation,9257052129,Oakland,37.7903,-122.2165
M10-18-0000177-TEMP,Medicinal,Oakland Community Partners,,Active,8/8/2018,Sole Proprietorship,4152057450,Oakland,37.7903,-122.2165
A10-18-0000368-TEMP,Adult-Use Medicinal,East Bay Therapeutics,,Active,10/5/2018,Corporation,9167574892,Emeryville,37.8382,-122.2932
C10-18-0000027-TEMP,Adult-Use Medicinal,"Rishon, LLC",Cannabis Buyers Club of Berkeley,Active,11/28/2018,Limited Liability Company,3233266347,Berkeley,37.8723,-122.276
M10-18-0000169-TEMP,Adult-Use Medicinal,Team Handed Corporation,Patients Care Collective,Active,11/1/2018,Corporation,5105407878,Berkeley,37.8723,-122.276
A10-17-0000005-TEMP,Adult-Use Medicinal,"Berkeley Patients Group, Inc",,Active,10/28/2018,Corporation,5105406013,Berkeley,37.8723,-122.276
A10-17-0000075-TEMP,Adult-Use Medicinal,The Richmond Patient's Group,Green Remedy,Active,10/28/2018,Corporation,4153284102,Richmond,37.9477,-122.339
A10-18-0000347-TEMP,Adult-Use Medicinal,Holistic Healing Collective,,Active,8/29/2018,Corporation,5102753365,Richmond,37.9477,-122.339
A10-18-0000345-TEMP,Adult-Use Medicinal,7 Stars Holistic Foundation,7 Stars Holistic Healing Center,Active,8/29/2018,Corporation,5105277827,Richmond,37.9477,-122.339
M10-18-0000301-TEMP,Medicinal,M E DELIVERY,,Active,9/10/2018,Sole Proprietorship,5106583269,El Sobrante,37.9723,-122.2959
C10-18-0000015-TEMP,Medicinal,"Stockton Partners, Inc.",Zen Garden Wellness,Active,11/2/2018,Corporation,2098006452,Stockton,37.9766,-121.3111
M10-18-0000166-TEMP,Medicinal,Stockton Business Strategies,Connected Stockton,Active,11/1/2018,Corporation,2099370193,Stockton,37.9766,-121.3111
M10-18-0000185-TEMP,Medicinal,PORT CITY ALTERNATIVE,,Active,8/10/2018,Corporation,9162174053,Stockton,37.9766,-121.3111
M10-18-0000378-TEMP,Medicinal,Marin Alliance for Medical Marijuana,Marin Alliance for Medical Marijuana,Active,8/9/2018,Sole Proprietorship,4152957633,Fairfax,37.9884,-122.595
M10-18-0000201-TEMP,Adult-Use Medicinal,V.H.H.C. LLC,,Active,11/14/2018,Limited Liability Company,4152980948,Vallejo,38.1134,-122.2359
M10-18-0000175-TEMP,Adult-Use Medicinal,Highway 29 Healthcare,,Active,11/5/2018,Corporation,7076458303,Vallejo,38.1134,-122.2359
M10-18-0000172-TEMP,Adult-Use Medicinal,HTP GROUP,,Active,11/1/2018,Corporation,7074842465,Vallejo,38.1134,-122.2359
M10-17-0000108-TEMP,Adult-Use Medicinal,Life Enhancement Services,,Active,10/28/2018,Corporation,7076548842,Vallejo,38.1134,-122.2359
A10-18-0000320-TEMP,Adult-Use Medicinal,California Collective Care,,Active,10/26/2018,Corporation,7077041960,Vallejo,38.1134,-122.2359
A10-18-0000296-TEMP,Adult-Use Medicinal,US BLOOM COLLECTIVE,US Bloom Collective,Active,10/5/2018,Corporation,7075610716,Vallejo,38.1134,-122.2359
A10-18-0000288-TEMP,Adult-Use Medicinal,Home Grown Holistic Collective Inc,,Active,9/28/2018,Limited Liability Company,7077212212,Vallejo,38.1134,-122.2359
A10-18-0000287-TEMP,Adult-Use Medicinal,better health group,better health group,Active,9/28/2018,Corporation,7075018259,Vallejo,38.1134,-122.2359
A10-18-0000283-TEMP,Adult-Use Medicinal,ENHANCED ENERGIES,Vallejo Relief Center,Active,9/27/2018,Corporation,7185103004,Vallejo,38.1134,-122.2359
A10-18-0000286-TEMP,Adult-Use Medicinal,Monterey County Patients Group,MCPG 3PG Happy Herbs,Active,9/27/2018,Corporation,7075671790,Vallejo,38.1134,-122.2359
M10-18-0000206-TEMP,Adult-Use Medicinal,releaf Alternative Cooperative Inc,reLeaf,Active,8/17/2018,Corporation,9167302196,Vallejo,38.1134,-122.2359
M10-18-0000208-TEMP,Medicinal,"Green Gold Cultivators, Inc.",Green Gold Cultivators,Active,8/17/2018,Corporation,2096748008,San Andreas,38.1912,-120.6763
M10-18-0000237-TEMP,Medicinal,"CALAVERAS NATURALS, INC.",Calaveras Little Trees,Active,11/25/2018,Corporation,2098903647,Arnold,38.2423,-120.3546
A10-17-0000052-TEMP,Adult-Use Medicinal,Mercy Wellness,Mercy Wellness,Active,10/28/2018,Corporation,7077951600,Cotati,38.3278,-122.7092
A10-17-0000074-TEMP,Adult-Use Medicinal,Responsible Patient Care,SPARC,Active,10/28/2018,Corporation,7073871517,Sebastopol,38.4001,-122.8277
A10-17-0000042-TEMP,Adult-Use Medicinal,Gravenstein 116 LLC,Solful,Active,10/28/2018,Limited Liability Company,4157943363,Sebastopol,38.4001,-122.8277
A10-18-0000177-TEMP,Adult-Use Medicinal,"Sonoma Patient Group, Inc.",,Active,11/20/2018,Corporation,7075262800,Santa Rosa,38.4465,-122.7059
M10-18-0000159-TEMP,Medicinal,"Organic Cannabis Foundation, LLC",Organicann,Active,10/31/2018,Limited Liability Company,7075888811,Santa Rosa,38.4465,-122.7059
M10-18-0000289-TEMP,Medicinal,"SMH Resources, Inc.",Sonoma Medicinal Herbs Patient to Patient Collective,Active,9/6/2018,Corporation,7075951823,Santa Rosa,38.4465,-122.7059
A10-18-0000186-TEMP,Adult-Use Medicinal,Alternatives a Health Collective,Alternatives a Health Collective,Active,8/27/2018,Corporation,4152508888,Santa Rosa,38.4465,-122.7059
A10-18-0000178-TEMP,Adult-Use Medicinal,Responsible Patient Care,SPARC,Active,8/22/2018,Corporation,7073871517,Santa Rosa,38.4465,-122.7059
A10-18-0000333-TEMP,Adult-Use Medicinal,"M.E.H.C., INCORPORATED",DIXON WELLNESS,Active,8/22/2018,Corporation,9166789282,Dixon,38.4466,-121.825
M10-18-0000224-TEMP,Medicinal,"Riverside Wellness, Inc",,Active,11/20/2018,Corporation,7078698008,Guerneville,38.5137,-122.9894
C10-18-0000026-TEMP,Adult-Use Medicinal,Davis Cannabis Collective,Davis Cannabis Collective (DCC),Active,11/28/2018,Corporation,9162304466,Davis,38.5552,-121.7365
C10-18-0000020-TEMP,Adult-Use Medicinal,"DAVISVILLE BUSINESS ENTERPRISES, INC.",F Street Dispensary,Active,11/17/2018,Corporation,5305743147,Davis,38.5552,-121.7365
A10-18-0000216-TEMP,Adult-Use Medicinal,"Safe Capitol Compassion Cooperative, Inc.",,Active,11/29/2018,Limited Liability Company,9162543287,Sacramento,38.5666,-121.4683
A10-18-0000343-TEMP,Adult-Use Medicinal,A.T.A.C.H.S. Inc.,A Therapeutic Alternative,Active,11/24/2018,Corporation,9168224717,Sacramento,38.5666,-121.4683
M10-18-0000203-TEMP,Adult-Use Medicinal,Sharp Source,THC,Active,11/14/2018,Corporation,9164764431,Sacramento,38.5666,-121.4683
A10-18-0000163-TEMP,Adult-Use Medicinal,"Doc's Cooperative, Inc.",Doctor's Orders,Active,11/14/2018,Corporation,9165642112,Sacramento,38.5666,-121.4683
A10-18-0000148-TEMP,Adult-Use Medicinal,Mama N Pops Inc,515 Broadway,Active,11/8/2018,Corporation,9168656474,Sacramento,38.5666,-121.4683
A10-18-0000149-TEMP,Adult-Use,Septem Coma Inc.,South Sacramento Care Center,Active,11/8/2018,Corporation,9163931820,Sacramento,38.5666,-121.4683
A10-18-0000150-TEMP,Adult-Use Medicinal,"Perchta, Inc. A California Mutual Benefit Corp.",House of Organics,Active,11/8/2018,Corporation,9163813769,Sacramento,38.5666,-121.4683
A10-18-0000144-TEMP,Adult-Use,Metro Health Systems,Green Door Metro,Active,11/7/2018,Corporation,5108121600,Sacramento,38.5666,-121.4683
A10-18-0000134-TEMP,Adult-Use Medicinal,Safe Accessible Solutions,,Active,11/6/2018,Corporation,9163869840,Sacramento,38.5666,-121.4683
A10-18-0000130-TEMP,Adult-Use Medicinal,CC101,,Active,11/5/2018,Corporation,9163876233,Sacramento,38.5666,-121.4683
A10-18-0000129-TEMP,Adult-Use Medicinal,Hugs Alternative Care,,Active,11/5/2018,Corporation,9167084095,Sacramento,38.5666,-121.4683
A10-18-0000127-TEMP,Adult-Use Medicinal,"C9 Alliance Cooperative, Inc.",Cloud 9,Active,11/4/2018,Corporation,9163878605,Sacramento,38.5666,-121.4683
M10-18-0000163-TEMP,Adult-Use Medicinal,California Naturopathic Agricultural Association #7,Alpine Alternative,Active,11/1/2018,Corporation,9162174053,Sacramento,38.5666,-121.4683
A10-18-0000118-TEMP,Adult-Use Medicinal,Sacramento Commercial Services,Florin Wellness Center,Active,11/1/2018,Corporation,9167060563,Sacramento,38.5666,-121.4683
A10-17-0000093-TEMP,Adult-Use Medicinal,"Valley Health Options Collective, Inc.",,Active,10/28/2018,Corporation,9165243194,Sacramento,38.5666,-121.4683
A10-17-0000095-TEMP,Adult-Use Medicinal,ALTERNATIVE MEDICAL CENTER,AMC,Active,10/28/2018,Corporation,9165641100,Sacramento,38.5666,-121.4683
A10-17-0000094-TEMP,Adult-Use Medicinal,GOLDEN HEALTH & WELLNESS,,Active,10/28/2018,Corporation,9166466340,Sacramento,38.5666,-121.4683
M10-17-0000139-TEMP,Adult-Use Medicinal,"G.S.H.L.E., Inc.",Green Solutions,Active,10/28/2018,Corporation,9166000583,Sacramento,38.5666,-121.4683
M10-17-0000131-TEMP,Adult-Use Medicinal,Community Health Solutions,,Active,10/28/2018,Corporation,9167127263,Sacramento,38.5666,-121.4683
M10-17-0000135-TEMP,Adult-Use Medicinal,Roseville Gold,Two Rivers Wellness,Active,10/28/2018,Corporation,9166000583,Sacramento,38.5666,-121.4683
A10-17-0000092-TEMP,Adult-Use Medicinal,Sacramento Community Cannabis Collective,Connected Sacramento,Active,10/28/2018,Corporation,9164751857,Sacramento,38.5666,-121.4683
A10-17-0000080-TEMP,Adult-Use Medicinal,"Migliore, LLC",Abatin Wellness Center,Active,10/28/2018,Limited Liability Company,3107410888,Sacramento,38.5666,-121.4683
A10-17-0000066-TEMP,Adult-Use Medicinal,"PDEE, INC",All About Wellness,Active,10/28/2018,Corporation,9164544327,Sacramento,38.5666,-121.4683
A10-17-0000091-TEMP,Adult-Use Medicinal,River City Phoenix,,Active,10/28/2018,Corporation,9167084095,Sacramento,38.5666,-121.4683
A10-18-0000317-TEMP,Adult-Use Medicinal,Horizon Nonprofit Collective,,Active,10/23/2018,Corporation,9168708067,Sacramento,38.5666,-121.4683
A10-18-0000254-TEMP,Adult-Use Medicinal,DELTA HEALTH & WELLNESS,,Active,9/7/2018,Corporation,9162319934,Sacramento,38.5666,-121.4683
A10-18-0000147-TEMP,Adult-Use Medicinal,"P.S.A.C., Inc.",Zen Garden Wellness,Active,8/10/2018,Corporation,4158904480,Sacramento,38.5666,-121.4683
M10-18-0000333-TEMP,Medicinal,Highlands Health and Wellness Collective,Highlands Health and Wellness,Active,10/5/2018,Corporation,9162137035,Shingle Springs,38.6666,-120.937
M10-18-0000302-TEMP,Medicinal,All Natural Inc.,medical marijuana dispensary,Active,9/12/2018,Corporation,5306764032,Shingle Springs,38.6666,-120.937
M10-18-0000207-TEMP,Medicinal,River City Wellness Pain Management,foothill health and wellness,Active,8/17/2018,Corporation,5306764532,Shingle Springs,38.6666,-120.937
C10-18-0000025-TEMP,Medicinal,Medical Marijuana Caregivers Association,MMCA,Active,11/24/2018,,5306775362,Cameron Park,38.6733,-120.9871
A10-18-0000192-TEMP,Adult-Use Medicinal,"HT, Inc",High Tides,Active,11/26/2018,Corporation,7078841882,Gualala,38.7657,-123.5281
A10-18-0000323-TEMP,Adult-Use Medicinal,Green Spirit Mendocino LLC,,Active,10/29/2018,Limited Liability Company,2148088649,Point Arena,38.9123,-123.6956
